Linux Device Drivers,O'Reilly,978-0-596-00590-0,,Humble Book Bundle: Unix & Linux by O'Reilly
Linux for Makers,O'Reilly,,,Boards & Coding by Make Co.
Linux in a Nutshell,O'Reilly,978-0-596-15448-6,,Humble Book Bundle: Unix & Linux by O'Reilly
Linux Observability with BPF,O'Reilly,978-1-492-05020-9,,Humble Book Bundle: Unix & Linux by O'Reilly
Linux Pocket Guide,O'Reilly,978-1-098-15796-8,,Humble Book Bundle: Unix & Linux by O'Reilly
Linux Pocket Guide (3rd Edition),O'Reilly Media,9781491927571,,DevOps by O'Reilly
Linux Shell Programming Pocket Primer,Mercury Learning and Information,9781683925149,,Programming Fundamentals 2023 by Mercury
Linux System Programming,O'Reilly,978-1-449-33953-1,,Humble Book Bundle: Unix & Linux by O'Reilly
Literary Places,The Quarto Group,9781781319383,,The Armchair Traveler
Little Girl Lost,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Little Happy Circus,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Little Old Lady Recipes,Penguin Random House US,9781594745348,,Cooking Forking Good Food
Little Shoes,Skyhorse Publishing,9781510722484,,True Crime Essentials
Loopy Mango Knitting: 34 Fashionable Pieces You Can Make in a Day,Abrams Books,9781419738081,,Humble Book Bundle: Knit Happens!
Lose Your Belly Fat Cookbook,Callisto Publishing,9781641521710,,Humble Book Bundle: Health & Wellness
"Lotta Jansdotter Paper, Pattern, Play",Abrams Books,9781419725845,,"Crafting, Knitting, & More"
Love and Asperger's,Callisto Publishing,N/A (Digital Bundle),,Humble Book Bundle: Mental Health by Callisto Media
LPI Linux Essentials Study Guide: Exam 010 v1.6,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
LPIC-1 Linux Professional Institute Certification Study Guide: Exam 101-500 and Exam 102-500,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
Mabel Bunny & Co.,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Machine Learning (Master Supervised and Unsupervised Learning Algorithms with Real Examples),BPB Publications,9789388511391,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Machine Learning Bookcamp,Manning Publications,Not provided on page,,"Programming Bootcamp: Python, Javascript & More by Manning"
Machine Learning Cookbook with Python,BPB Publications,9789389845006,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Machine Learning Engineering on AWS,Packt,,,Machine Learning and AI 2023
Machine Learning Engineering with Python,Packt,9781801079259,,Humble Book Bundle: All-in-One Python by Packt
Machine Learning Engineering with Python (Second Edition),Packt Publishing,9781837631964,,Humble Tech Book Bundle: Machine Learning Engineer Masterclass by Packt
"Machine Learning for Algorithmic Trading, Second Edition",Packt,9781839014222,,Humble Book Bundle: All-in-One Python by Packt
Machine Learning for Beginners,BPB Publications,9789389423174,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Machine Learning for Finance,BPB Publications,9789389845860,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Machine Learning for Time Series Forecasting with Python,Wiley,9781119871804,,Data Visualization by Wiley
Machine Learning for Time-Series with Python,Packt,Available inside eBook,,The A - Z of Machine Learning
Machine Learning in Microservices,Packt,,,Machine Learning and AI 2023
Machine Learning in Production,Pearson,9780134116549,,"Humble Tech Book Bundle: Machine Learning, AI, Deep Learning, and LLM by Pearson"
"Machine Learning Methods for Signal, Image and Speech Processing",River Publishers,9788770223584,,"Humble Tech Book Bundle: Electronics, Circuits, and Science"
Machine Learning Model Serving Patterns and Best Practices,Packt,,,Machine Learning and AI 2023
Machine Learning Pocket Reference,O'Reilly Media,9781492047544,,Humble Book Bundle: Data & AI by O'Reilly
Machine Learning Security Principles,Packt,,,Machine Learning and AI 2023
Machine Learning Using TensorFlow Cookbook,Packt,Available inside eBook,,The A - Z of Machine Learning
Machine Learning with Python,BPB Publications,9789386551917,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
Machine Learning with Python Cookbook,O'Reilly,9781098135720,,Humble Book Bundle: Coding Cookbooks by O'Reilly
Machine Learning with PyTorch and Scikit-Learn,Packt Publishing,9781801819312,,Humble Tech Book Bundle: Machine Learning Engineer Masterclass by Packt
Machine Learning with R - Fourth Edition,Packt,,,Machine Learning and AI 2023
Machine Learning with R (Fourth Edition),Packt Publishing,9781801071321,,Humble Tech Book Bundle: Machine Learning Engineer Masterclass by Packt
Machine Learning with Spark and Python: Essential Techniques for Predictive Analytics,Wiley,9781119561934,,Data Visualization by Wiley
"Machine Learning: Hands-On for Developers and Technical Professionals, 2nd Edition",Wiley,9781119642251,,Data Visualization by Wiley
Machine Methods,"Walter De Gruyter, Inc.",,,Humble Book Bundle: STEM by Mercury Learning
Macroeconomics,MIT Press,9780262538572,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
Magic of Mini Pies,Skyhorse Publishing,978-1626361867,,Eat Like a Geek
Magical Woodland Knits,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
"Magpies, Homebodies, and Nomads: A Modern Knitter's Guide to Discovering and Exploring Style",Abrams Books,9781584799535,,"Humble Book Bundle: Get Crafty: Knitting, Sewing & Crafting by ABRAMS"
Majora's Mask,Boss Fight Books,978-1-940535-26-5,,Humble Book Bundle: Video Game Histories
Make a Mind-Controlled Arduino Robot,O'Reilly / Maker Media,9781449311544,,Coding & Hardware by Make
Make an Arduino-Controlled Robot,O'Reilly Media,9781449344375,,Humble Book Bundle: Programming for Makers by Make Co.
Make Ink: A Forager's Guide to Natural Inkmaking,Abrams Books,9781419732430,,"Humble Book Bundle: Get Crafty: Knitting, Sewing & Crafting by ABRAMS"
Make One for Baby,Leisure Arts,9781574866421,,Humble Craft Bundle: Cozy Afghans and More
Make Python Talk,No Starch Press,9781718501560,,Humble Tech Book Bundle: Python by No Starch Press
Make Softies,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Make Your Own Crochet Animals,Open Road Media,978-1446308523,,Humble Book Bundle: Amigurumi and Crochet
Make: A Raspberry Pi-Controlled Robot,O'Reilly,9781449344375,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
"Make: Action: Movement, Light, and Sound with Arduino and Pi",O'Reilly / Make Community,9781457187650,,Holiday Make:cation
"Make: Action: Movement, Light, and Sound with Arduino and Raspberry Pi",O'Reilly / Maker Media,978-1457187681,,Humble Book Bundle: Make: Electronics 2018
Make: Analog Synthesizers: Make Electronic Sounds the Synth-DIY Way,O'Reilly,9781449345228,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
Make: Arduino Bots and Gadgets,O'Reilly / Maker Media,9781449389710,,Coding & Hardware by Make
Make: Atmospheric Monitoring with Arduino,O'Reilly / Maker Media,9781449327545,,Humble Book Bundle: Back to School by Make:
Make: AVR Programming,O'Reilly,9781449355784,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
Make: Basic Arduino Projects,O'Reilly / Maker Media,9781449360610,,Coding & Hardware by Make
Make: Bicycle Projects,O'Reilly / Make Community,9781680451290,,Holiday Make:cation
Make: Bluetooth,O'Reilly,,,Boards & Coding by Make Co.
Make: DIY Bookbinding,O'Reilly / Make Community,9781680451702,,Holiday Make:cation
Make: Drones,O'Reilly / Maker Media,978-1680451719,,Humble Book Bundle: Make: Electronics 2018
Make: Easy 1+2+3 Projects,O'Reilly / Maker Media,9781680451450,,Coding & Hardware by Make
Make: Edible Inventions,O'Reilly / Make Community,9781680451443,,Holiday Make:cation
Make: Electronics (Learning by Discovery),O'Reilly / Maker Media,978-1680450262,,Humble Book Bundle: Make: Electronics 2018
"Make: Electronics, 2nd Edition",O'Reilly,9781680450262,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
Make: Environmental Monitoring with Arduino,O'Reilly / Maker Media,9781449310561,,Coding & Hardware by Make
Make: Fabric and Fiber Inventions,O'Reilly / Maker Media,9781680453911,,DIY Maker School by Make Co.
Make: Fashioning Technology A DIY Intro to Smart Crafting,O'Reilly / Make Community,9780596514372,,Holiday Make:cation
Make: Forrest Mims' Science Experiments,O'Reilly / Maker Media,9781457151010,,Coding & Hardware by Make
Make: FPGAs,O'Reilly,,,Boards & Coding by Make Co.
Make: Fun!,O'Reilly / Make Community,9781680451955,,Holiday Make:cation
"Make: Fusion 360 for Makers, 2nd Edition",O'Reilly / Maker Media,9781680457636,,Coding & Hardware by Make
Make: Geometry,O'Reilly / Maker Media,9781680456677,,Coding & Hardware by Make
"Make: Getting Started with 3D Printing, 2nd Edition",O'Reilly / Maker Media,9781680450200,,Coding & Hardware by Make
Make: Getting Started with Adafruit FLORA,O'Reilly / Maker Media,9781457186714,,Coding & Hardware by Make
"Make: Getting Started with Arduino, 3rd Edition",O'Reilly / Maker Media,9781449363338,,DIY Maker School by Make Co.
Make: Getting Started with CNC,O'Reilly,,,Boards & Coding by Make Co.
Make: Getting Started with Drones,O'Reilly / Maker Media,9781680450101,,Humble Book Bundle: Back to School by Make:
"Make: Getting Started with Processing, 2nd Edition",O'Reilly,,,Boards & Coding by Make Co.
"Make: Getting Started with Raspberry Pi, 3rd Edition",O'Reilly / Maker Media,9781680452464,,DIY Maker School by Make Co.
Make: Getting Started with Soldering,O'Reilly / Maker Media,9781199071064,,DIY Maker School by Make Co.
Make: Getting Started with the micro:bit,O'Reilly / Maker Media,9781680453058,,DIY Maker School by Make Co.
Make: How to Use a Breadboard!,O'Reilly / Make Community,9781680457292,,DIY Maker School by Make Co.
Make: Illustrated Guide to Astronomical Wonders,O'Reilly / Maker Media,9780596520601,,Humble Book Bundle: Back to School by Make:
Make: Illustrated Guide to Home Biology Experiments,O'Reilly / Maker Media,9781449334413,,Humble Book Bundle: Back to School by Make:
Make: Illustrated Guide to Home Chemistry Experiments,O'Reilly / Maker Media,9780596517700,,Humble Book Bundle: Back to School by Make:
Make: Illustrated Guide to Home Forensic Science Experiments,O'Reilly / Maker Media,9781449334512,,DIY Maker School by Make Co.
Make: Inventing a Better Mousetrap,O'Reilly / Maker Media,9781457187643,,DIY Maker School by Make Co.
Make: JavaScript Robotics,O'Reilly,,,Boards & Coding by Make Co.
Make: Learn Electronics with Arduino,O'Reilly / Maker Media,9781680453744,,Coding & Hardware by Make
Make: Lego and Arduino Projects,O'Reilly / Maker Media,9781449321062,,Coding & Hardware by Make
Make: Like The Pioneers,O'Reilly / Maker Media,9781457193552,,DIY Maker School by Make Co.
Make: Magazine Vol. 70: We Can’t Quit You,O'Reilly / Make Community,9781680457131,,DIY Maker School by Make Co.
Make: Magazine Vol. 71: Fix Our Planet,O'Reilly / Make Community,9781680457155,,DIY Maker School by Make Co.
Make: Magazine Vol. 72: Private By Design,O'Reilly / Make Community,9781680457179,,DIY Maker School by Make Co.
Make: Magazine Vol. 73,O'Reilly,9781680457193,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
"Make: Magazine, Volume 65",O'Reilly,9781680455489,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
Make: Make It Glow,O'Reilly / Make Community,9781680452303,,Holiday Make:cation
Make: Maker Projects Guide,O'Reilly,9781449370428,,Tech & Electronics
Make: Making Simple Robots,O'Reilly,,,Boards & Coding by Make Co.
Make: Mechanical Engineering for Makers,O'Reilly / Make Community,9781680455878,,DIY Maker School by Make Co.
Make: Minecraft for Makers,O'Reilly,9781680453119,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
Make: More Electronics,O'Reilly,9781449344047,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
Make: More Tinkering,O'Reilly / Maker Media,9781680456202,,DIY Maker School by Make Co.
Make: Musical Inventions,O'Reilly / Maker Media,9781680454512,,DIY Maker School by Make Co.
Make: Paper Inventions,O'Reilly / Maker Media,9781457187520,,DIY Maker School by Make Co.
Make: Planes Gliders and Paper Rockets,O'Reilly / Maker Media,9781199044952,,DIY Maker School by Make Co.
Make: Props and Costume Armor,O'Reilly / Make Community,9781680450064,,DIY Maker School by Make Co.
Make: Raspberry Pi and AVR Projects,O'Reilly / Maker Media,9781457186127,,Coding & Hardware by Make
Make: School's Out Summer Fun Guide,O'Reilly,9781491953211,,Tech & Electronics
Make: Sensors,O'Reilly,9781449368104,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
Make: Start Making!,O'Reilly / Maker Media,9781199041692,,DIY Maker School by Make Co.
Make: Tech DIY,O'Reilly / Maker Media,9781680450538,,Coding & Hardware by Make
Make: Technology on Your Time Volume 35: The Danger Issue,O'Reilly,9781457183157,,Tech & Electronics
Make: Technology on Your Time Volume 36: Board Games,O'Reilly,9781457183201,,Tech & Electronics
Make: Technology on Your Time Volume 41: Best Toys for Makers,O'Reilly,9781457183843,,Tech & Electronics
Make: The Annotated Build-It-Yourself Science Laboratory,O'Reilly / Maker Media,9781457186899,,DIY Maker School by Make Co.
"Make: Tinkering, 2nd Edition",O'Reilly / Maker Media,9781199092823,,DIY Maker School by Make Co.
Make: Tips and Tales from the Workshop,O'Reilly / Make Community,9781680454642,,Holiday Make:cation
Make: Tools,O'Reilly / Make Community,9781680450262,,Holiday Make:cation
Make: Volume 73: DIY Heroes,O'Reilly / Make Community,9781680457193,,DIY Maker School by Make Co.
"Make: Wearable Electronics: Design, Prototype, and Wear Your Own Interactive Garments",O'Reilly,9781449336516,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
"Make: Zero to Maker, 2nd Edition",O'Reilly / Make Community,9781680453416,,DIY Maker School by Make Co.
Make: Zero to Maker: Learn (Just Enough) to Make Anything,O'Reilly / Make Community,9781680453416,,Holiday Make:cation
"Making and Breaking the Grid, Second Edition, Updated and Expanded",The Quarto Group,9781631592843,,Humble Book Bundle: The Graphic Designer's Toolkit by Quarto
Making Dough,Quirk Books,9781594747519,,Cooking Forking Good Food
Making Makers,O'Reilly / Maker Media,9781449359058,,Coding & Hardware by Make
"Making Makers: Kids, Tools, and the Future of Innovation",O'Reilly / Make Community,9781449339593,,Holiday Make:cation
"Making Things See: 3D vision with Kinect, Processing, Arduino, and MakerBot",O'Reilly,9781449307073,,Tech & Electronics
Making Things Smart,O'Reilly,,,Boards & Coding by Make Co.
"Making Things Talk, 3rd Edition",O'Reilly / Maker Media,9781680452150,,Coding & Hardware by Make
"Making Things Talk: Using Sensors, Networks, and Arduino to See, Hear, and Feel Your World (2nd Edition)",O'Reilly,9781449392437,,Tech & Electronics
Making Trousers for Men & Women,The Quarto Group,9781589234499,,"Crafting, Knitting, & More"
Making Vegan Meat: The Plant-Based Food Science CookBook,Mango Media,9781642504019,,"Humble Book Bundle: Eat, Drink & Be Merry"
Malware Analysis Techniques,Packt,9781801079648,,Cybersecurity & Cyber Warfare
Malware Analyst's Cookbook and DVD: Tools and Techniques for Fighting Malicious Code,Wiley,9780470613030,,Humble Book Bundle: Cybersecurity by Wiley
Mamushka,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
Management 101,Simon & Schuster (Adams Media),9781507200360,,Humble Book Bundle: Knowledge 101!
Manager's Answer Book,Career Press,9781632650573,,Humble Book Bundle: Career Building by Career Press
"Managing Security Services in Heterogenous Networks: Confidentiality, Integrity, Availability, Authentication, and Access Control",Taylor & Francis Group,9781138583900,,Humble Tech Book Bundle: Cybersecurity and Forensics by CRC Press
Managing State in Flutter Pragmatically,Packt Publishing,9781801070775,,"iOS, Android, and Flutter: Mobile Development"
Mandarin Phrasebook,Lonely Planet,,,Learn a New Language and Travel the World Bundle
Mango & Peppercorns,Chronicle Books,978-1452181516,,The Calculating Chef
Manhattan Cult Story,Skyhorse Publishing,9781510770515,,True Crime Essentials
Marshmallow Madness!,Quirk Books,9781594745720,,Cooking Forking Good Food
Mary's Mosaic,Skyhorse Publishing,9781626361041,,True Crime Essentials
Mason Jar Cookbook,Skyhorse Publishing,978-1634505154,,Eat Like a Geek
Masquerade,Dynamite Entertainment,9781606900659,,Humble Comics Bundle: The Boys Versus Project Superpowers
Mastering API Architecture,O'Reilly,9781492090632,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Mastering Art of Chinese Cook,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Mastering Azure API Management,Springer / Apress,9781484274217,,Mastering Microsoft Development
Mastering Azure Machine Learning,Packt,Available inside eBook,,The A - Z of Machine Learning
Mastering Azure Security,Packt,[Inside eBook],,Humble Book Bundle: Cybersecurity 2021
Mastering Defensive Security,Packt,9781838645014,,Cybersecurity & Cyber Warfare
Mastering Go - Fourth Edition,Packt,9781805127147,,Humble Tech Book Bundle: Programming Mega Bundle
Mastering GUI Programming with Python,Packt,9781789612905,,Python Master 2024
Mastering Hand Building,The Quarto Group,9781589239432,,"Crafting, Knitting, & More"
Mastering Homebrew,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Mastering iOS 14 Programming,Packt Publishing,9781838822842,,"iOS, Android, and Flutter: Mobile Development"
Mastering Java 11,Packt,9781789133158,,Humble Book Bundle: Java by Packt
Mastering Java Machine Learning,Packt,9781785880513,,Humble Book Bundle: Java by Packt
Mastering Kali Linux for Advanced Penetration Testing,Packt,9781838642341,,Cybersecurity & Cyber Warfare
Mastering Kubernetes,Packt,9781804611395,,The Ultimate DevOps Bundle
Mastering Linux Security and Hardening,Packt,[Inside eBook],,Humble Book Bundle: Cybersecurity 2021
Mastering Malware Analysis,Packt,[Inside eBook],,Humble Book Bundle: Cybersecurity 2021
Mastering Memory,Callisto Publishing,9781647399337,,Humble Book Bundle: Health & Wellness
Mastering Microsoft Endpoint Manager,Packt,9781801075671,,Cybersecurity & Cyber Warfare
Mastering Microsoft Power BI,Packt,,,Business Intelligence and Data Analysis with Tableau and Power BI
Mastering Modular JavaScript,O'Reilly,9781491955680,,Humble Book Bundle: Web Development & Design by O'Reilly
Mastering NLP from Foundations to LLMs,Packt Publishing,9781804619186,,Humble Tech Book Bundle: Machine Learning Engineer Masterclass by Packt
Mastering Object-Oriented Python,Packt,9781783280971,,Python Master 2024
Mastering Palo Alto Networks,Packt,9781800569140,,Cybersecurity & Cyber Warfare
Mastering PostgreSQL 17,Packt,,,Humble Tech Book Bundle: Mastering Every Database by Packt
Mastering Python,Packt,9781800207721,,Python Master 2024
Mastering Python - Second Edition,Packt,9781800207721,,Humble Tech Book Bundle: Programming Mega Bundle
Mastering Python for Networking and Security,Packt,[Inside eBook],,Humble Book Bundle: Cybersecurity 2021
Mastering Python Networking,Packt,9781839215797,,Humble Book Bundle: All-in-One Python by Packt
Mastering PyTorch (Second Edition),Packt Publishing,9781801074308,,Humble Tech Book Bundle: Machine Learning Engineer Masterclass by Packt
Mastering React Test-Driven Development,Packt,9781803232676,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
Mastering Regular Expressions,O'Reilly,978-0-596-52812-6,,Humble Book Bundle: Unix & Linux by O'Reilly
MASTERING REST APIS,Apress / Springer,978-1-4842-9457-4,,Humble Tech Book Bundle: Full Stack Development with Apress
"Mastering Swift 5, 5th Edition",Packt,9781789139860,,iOS & Android Mobile Development by Packt
Mastering Tableau 2021,Packt,,,Business Intelligence and Data Analysis with Tableau and Power BI
Mastering the Art of Chinese Cooking,Chronicle Books,978-0811878708,,The Calculating Chef
Mastering the Art of Flower Gardening,The Quarto Group,9781589238961,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Mastering the Art of Vegetable Gardening,The Quarto Group,9781589238978,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Mastering Transformers,Packt,Available inside eBook,,The A - Z of Machine Learning
Mastering Windows Security and Hardening,Packt,9781803241470,,Cybersecurity & Cyber Warfare
"Mastering Xamarin UI Development, 2nd Edition",Packt,9781788995207,,iOS & Android Mobile Development by Packt
Math Adventures with Python,No Starch Press,9781593278670,,Humble Book Bundle: Learn You More Python
Math and Architectures of Deep Learning (MEAP),Manning Publications,Unavailable,,Math for Programmers 2023
Math for Programmers 1E,Manning Publications,Unavailable,,Math for Programmers 2023
"Mathematical Basics of Motion and Deformation in Computer Graphics, Second Edition",Morgan & Claypool Publishers,978-1681738536,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Mathematical Methods for Physics Using MAPLE & MATLAB,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Mathematical Mind-Benders,Taylor & Francis Inc. / A K Peters,9781568813363,,Humble Book Bundle: Math & Puzzles Train Your Brain
Mathematical Physics,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Mathematical Wizardry for a Gardner,Taylor & Francis Group / A K Peters,9781568814476,,Humble Book Bundle: Math & Puzzles Train Your Brain
Mathematics & Common Sense: A Case of Creative Tension,Taylor & Francis Group / A K Peters,9781568812700,,Humble Book Bundle: Math & Puzzles Train Your Brain
"Mathematics for Business, Seventh Edition","Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Mathematics for Computer Graphics and Game Programming,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Mathematics for Mechanical Engineers Problems & Solutions,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Mathematics of Keno and Lotteries,Taylor & Francis Group / Chapman & Hall,9781138723726,,Humble Book Bundle: Math & Puzzles Train Your Brain
MatLab for Engineering and Life Sciences,Morgan & Claypool Publishers,978-1627051750,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Matrices in Engineering Problems,Morgan & Claypool Publishers,978-3031012747,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Maximize Your Memory,Career Press,9781601631176,,Humble Book Bundle: Career Building by Career Press
Maximizing Tableau Server,Packt,,,Business Intelligence and Data Analysis with Tableau and Power BI
Maybe Swearing Will Help: Relax and Curse Your Ass Off In Cross-Stitch,Insight Editions / Weldon Owen,9781681889351,,Humble Craft Book Bundle: Stitch & Bitch by Insight Editions
mBot for Makers,O'Reilly,,,Boards & Coding by Make Co.
MCA Modern Desktop Administrator Practice Tests: Exam MD-100 and MD-101,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
MCA Modern Desktop Administrator Study Guide: Exam MD-100,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
MCA Modern Desktop Administrator Study Guide: Exam MD-101,Wiley,Not specified on page,,Humble Book Bundle: Get Certified! by Wiley
Me and My Feelings,Callisto Publishing,9781641524995,,Humble Book Bundle: Health & Wellness
Mechanical Engineering and Mechatronics Handbook,"Walter De Gruyter, Inc. / Mercury Learning",9781683928560,,Humble Tech Book Bundle: STEM Bootcamp by Mercury Learning
Mechanical Engineering Exam Prep,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
"Meditation Made Simple: Weekly Practices for Relieving Stress, Finding Balance, and Cultivating Joy",The Quarto Group,9781592338870,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Meet the Bad Guys,Dynamite Entertainment,9781606901410,,Humble Comics Bundle: The Boys Versus Project Superpowers
Mega Man 3,Boss Fight Books,978-1-940535-14-2,,Humble Book Bundle: Video Game Histories
Melly & Me,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Memory,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Menopause: 50 Things You Need to Know,Callisto Publishing,9781646114146,,Humble Book Bundle: Health & Wellness
Mercury In Retrograde,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
MERN Projects for Beginners,Springer / Apress,978-1484296714,,Full Stack Web Development by Springer/Apress
Metal Gear Solid,Boss Fight Books,978-1-940535-09-8,,Humble Book Bundle: Video Game Histories
Metaprogramming Elixir,Pragmatic Bookshelf,9781680500417,,Humble Tech Book Bundle: Elixir Programming
Metaprogramming with Python,Packt,9781838554651,,Python Master 2024
Metasploit 5.0 for Beginners,Packt,[Inside eBook],,Humble Book Bundle: Cybersecurity 2021
Micro State Management with React Hooks,Packt,9781801812375,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
Microcontroller and Smart Home Networks,River Publishers,N/A,,Humble Tech Book Bundle: Big Data & IoT by River Publishers
Microservices Communication in .NET Using gRPC,Packt,9781803249520,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
Microservices Design Patterns in .NET,Packt,9781804614747,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
Microservices in Action,Manning Publications,,,Code Like a Pro by Manning Publications
Microsoft 365 Security Administration: MS-500 Exam Guide,Packt,9781838981150,,Cybersecurity & Cyber Warfare
Microsoft Access 2019 Programming Pocket Primer,"Walter De Gruyter, Inc.",[Not on page],,STEM Productivity Library by Mercury
Microsoft Access 2021 Programming Pocket Primer,Mercury Learning and Information,9781683928270,,Programming Fundamentals 2023 by Mercury
Microsoft Azure Fundamentals Certification and Beyond,Packt Publishing,9781801073301,,CI/CD Mastery for Cloud Infrastructure
Microsoft Azure Security Technologies Certification and Beyond,Packt,9781801815598,,Cybersecurity & Cyber Warfare
Microsoft Blazor,Springer / Apress,9781484259849,,Mastering Microsoft Development
Microsoft Conversational AI Platform for Developers,Springer / Apress,9781484264393,,Mastering Microsoft Development
Microsoft Excel 2021 Programming Pocket Primer,Mercury Learning and Information,9781683928119,,Programming Fundamentals 2023 by Mercury
Microsoft Power BI Cookbook,Packt,,,Business Intelligence and Data Analysis with Tableau and Power BI
Microsoft Power BI Data Analyst Certification Guide,Packt,,,Business Intelligence and Data Analysis with Tableau and Power BI
Microsoft Power BI Performance Best Practices,Packt,,,Business Intelligence and Data Analysis with Tableau and Power BI
Microsoft Power BI Quick Start Guide,Packt,,,Business Intelligence and Data Analysis with Tableau and Power BI
"Migrating to AWS: A Manager's Guide, 1e",O'Reilly,9781492074243,,Humble Tech Book Bundle: Cloud Infrastructure & Operations by O'Reilly
Milky Way Railroad,Stone Bridge Press,978-0962813702,,Japanese Culture & Language
Millennial Money Makeover,Career Press,978-1632651471,,Choose Your Own Career Path
Minard System,Princeton Architectural Press,9781616896331,,Graphic Design 101
Mindful Crafting: The Maker's Creative Journey,The Quarto Group,9781782405719,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Mindful Thoughts for Mothers: A journey of loving-awareness,The Quarto Group,9781782404491,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Mindful Thoughts for Walkers: Footnotes on the zen path,The Quarto Group,9781782404170,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Mindful Travelling,The Quarto Group,9781782405627,,The Armchair Traveler
Mindfulness and the Big Questions: Philosophy for now,The Quarto Group,9781782404309,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Mindfulness for Stress Management,Callisto Publishing,9781641521734,,Humble Book Bundle: Health & Wellness
Mindfulness Meditations for Anxiety,Callisto Publishing,N/A (Digital Bundle),,Humble Book Bundle: Mental Health by Callisto Media
Mindfulness Workbook for Stress Relief,Callisto Publishing,9781647398040,,Humble Book Bundle: Health & Wellness
Minding the Machines: Building and Leading Data Science and Analytics Teams,Wiley,9781119736851,,Data Visualization by Wiley
Minecrafter's Cookbook,Skyhorse Publishing,978-1510738607,,Eat Like a Geek
"Miniature Gardens: Design and create miniature fairy gardens, dish gardens, terrariums and more-indoors and out",The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
Mining the Social Web,O'Reilly,9781491985045,,Humble Tech Book Bundle: Gifts for the Technically Inclined by O'Reilly
Mining the Social Web (3rd Edition),O'Reilly Media,9781491985045,,Humble Book Bundle: Gifts for the Technically Inclined
Mission Python,No Starch Press,9781593278564,,Humble Book Bundle: Learn You More Python
ML.NET Revealed,Springer / Apress,9781484265420,,Mastering Microsoft Development
Model Bakery Cookbook,Chronicle Books,978-1452113838,,The Calculating Chef
Modern C,Manning Publications,,,Code Like a Pro by Manning Publications
